全国地方公共団体コード,識別値,避難所種別,避難所種別小分類,避難所施設名,避難所施設名（カナ）,通称,住所表記,郵便番号,緯度,経度,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23236,1,指定緊急避難場所,広域避難場所,中部小学校,チュウブショウガッコウ,,愛知県みよし市三好町宮ノ越31,4700224,35.085939,137.073490,,中部小学校,0561-32-1044,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,1,指定避難所,避難所,中部小学校,チュウブショウガッコウ,,愛知県みよし市三好町宮ノ越31,4700224,35.085939,137.073490,,中部小学校,0561-32-1044,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,2,指定緊急避難場所,広域避難場所,北部小学校,ホクブショウガッコウ,,愛知県みよし市根浦町三丁目9-47,4700217,35.109686,137.096221,,北部小学校,0561-36-1047,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,2,指定避難所,避難所,北部小学校,ホクブショウガッコウ,,愛知県みよし市根浦町三丁目9-47,4700217,35.109686,137.096221,,北部小学校,0561-36-1047,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,3,指定緊急避難場所,広域避難場所,南部小学校,ナンブショウガッコウ,,愛知県みよし市明知町上細口27,4700214,35.070488,137.088934,,南部小学校,0561-32-1062,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,3,指定避難所,避難所,南部小学校,ナンブショウガッコウ,,愛知県みよし市明知町上細口27,4700214,35.070488,137.088934,,南部小学校,0561-32-1062,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,4,指定緊急避難場所,広域避難場所,天王小学校,テンノウショウガッコウ,,愛知県みよし市三好町天王51-75,4700224,35.090166,137.085586,,天王小学校,0561-32-2383,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,4,指定避難所,避難所,天王小学校,テンノウショウガッコウ,,愛知県みよし市三好町天王51-75,4700224,35.090166,137.085586,,天王小学校,0561-32-2383,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,5,指定緊急避難場所,広域避難場所,三吉小学校,ミヨシショウガッコウ,,愛知県みよし市三好町半野木1-27,4700224,35.081820,137.063211,,三吉小学校,0561-34-3888,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,5,指定避難所,避難所,三吉小学校,ミヨシショウガッコウ,,愛知県みよし市三好町半野木1-27,4700224,35.081820,137.063211,,三吉小学校,0561-34-3888,防災安全課,0561-32-8046,,,,,,,,,,,,,小型ヘリ
23236,6,指定緊急避難場所,広域避難場所,三好丘小学校,ミヨシガオカショウガッコウ,,愛知県みよし市三好丘七丁目1,4700202,35.120355,137.112425,,三好丘小学校,0561-36-3220,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,6,指定避難所,避難所,三好丘小学校,ミヨシガオカショウガッコウ,,愛知県みよし市三好丘七丁目1,4700202,35.120355,137.112425,,三好丘小学校,0561-36-3220,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,7,指定緊急避難場所,広域避難場所,緑丘小学校,ミドリガオカショウガッコウ,,愛知県みよし市三好丘緑一丁目1-1,4700205,35.110992,137.116633,,緑丘小学校,0561-36-8800,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,7,指定避難所,避難所,緑丘小学校,ミドリガオカショウガッコウ,,愛知県みよし市三好丘緑一丁目1-1,4700205,35.110992,137.116633,,緑丘小学校,0561-36-8800,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,8,指定緊急避難場所,広域避難場所,黒笹小学校,クロザサショウガッコウ,,愛知県みよし市黒笹いずみ三丁目26-1,4700232,35.130195,137.096240,,黒笹小学校,0561-36-1928,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,8,指定避難所,避難所,黒笹小学校,クロザサショウガッコウ,,愛知県みよし市黒笹いずみ三丁目26-1,4700232,35.130195,137.096240,,黒笹小学校,0561-36-1928,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,9,指定緊急避難場所,広域避難場所,三好中学校,ミヨシチュウガッコウ,,愛知県みよし市三好町宮ノ越42,4700224,35.086475,137.071163,,三好中学校,0561-32-1043,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,9,指定避難所,避難所,三好中学校,ミヨシチュウガッコウ,,愛知県みよし市三好町宮ノ越42,4700224,35.086475,137.071163,,三好中学校,0561-32-1043,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,10,指定緊急避難場所,広域避難場所,北中学校,キタチュウガッコウ,,愛知県みよし市三好丘桜一丁目1-1,4700204,35.112831,137.107809,,北中学校,0561-36-4565,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,10,指定避難所,避難所,北中学校,キタチュウガッコウ,,愛知県みよし市三好丘桜一丁目1-1,4700204,35.112831,137.107809,,北中学校,0561-36-4565,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,11,指定緊急避難場所,広域避難場所,南中学校,ミナミチュウガッコウ,,愛知県みよし市打越町三百目3,4700213,35.076665,137.089395,,南中学校,0561-34-1232,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,11,指定避難所,避難所,南中学校,ミナミチュウガッコウ,,愛知県みよし市打越町三百目3,4700213,35.076665,137.089395,,南中学校,0561-34-1232,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,12,指定緊急避難場所,広域避難場所,三好丘中学校,ミヨシガオカチュウガッコウ,,愛知県みよし市三好丘二丁目14-10,4700202,35.126707,137.117499,,三好丘中学校,0561-31-0781,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,12,指定避難所,避難所,三好丘中学校,ミヨシガオカチュウガッコウ,,愛知県みよし市三好丘二丁目14-10,4700202,35.126707,137.117499,,三好丘中学校,0561-31-0781,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,13,指定緊急避難場所,広域避難場所,三好公園総合体育館,ミヨシコウエンソウゴウタイイクカン,,愛知県みよし市三好町池ノ原1,4700224,35.091400,137.088818,,三好公園総合体育館,0561-34-3131,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,13,指定避難所,避難所,三好公園総合体育館,ミヨシコウエンソウゴウタイイクカン,,愛知県みよし市三好町池ノ原1,4700224,35.091400,137.088818,,三好公園総合体育館,0561-34-3131,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ（グラウンド）、小型ヘリ（野球場）
23236,14,指定緊急避難場所,広域避難場所,文化センターサンアート,ブンカセンターサンアート,サンアート,愛知県みよし市三好町大慈山1-1,4700224,35.081864,137.080481,,文化センターサンアート,0561-32-2000,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,14,指定避難所,避難所,文化センターサンアート,ブンカセンターサンアート,サンアート,愛知県みよし市三好町大慈山1-1,4700224,35.081864,137.080481,,文化センターサンアート,0561-32-2000,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,15,指定緊急避難場所,広域避難場所,県立三好高校,ケンリツミヨシコウコウ,,愛知県みよし市三好町東山110-1,4700224,35.083294,137.087150,,県立三好高校,0561-34-4881,防災安全課,0561-32-8046,,地震、大規模火事,,,,,,,,,,,
23236,15,指定避難所,避難所,県立三好高校,ケンリツミヨシコウコウ,,愛知県みよし市三好町東山110-1,4700224,35.083294,137.087150,,県立三好高校,0561-34-4881,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,16,指定避難所,福祉避難所,県立三好特別支援学校,ケンリツミヨシトクベツシエンガッコウ,,愛知県みよし市打越町山ノ神1-2,4700213,35.083073,137.102454,,県立三好特別支援学校,0561-34-4832,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,17,指定避難所,福祉避難所,三好老人保健施設,ミヨシロウジンホケンシセツ,,愛知県みよし市福谷町下り松42-1,4700207,35.130068,137.110647,,三好老人保健施設,0561-36-5522,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,18,指定緊急避難場所,広域避難場所,南部地区コミュニティ広場,ナンブチクコミュニティヒロバ,,愛知県みよし市打越町九蔵釜74,4700213,35.070135,137.091267,,南部地区コミュニティ広場,0561-34-3370,防災安全課,0561-32-8046,,地震、大規模火事,,,,,,,,,,,
23236,19,指定緊急避難場所,指定一時避難場所,黒笹公民館,クロザサコウミンカン,,愛知県みよし市黒笹一丁目8-8,4700231,35.126381,137.091324,,黒笹公民館,0561-36-2343,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,20,指定緊急避難場所,指定一時避難場所,黒笹保育園,クロザサホイクエン,,愛知県みよし市福谷町西大山1-31,4700207,35.126434,137.098103,,黒笹保育園,0561-36-5107,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,21,指定緊急避難場所,指定一時避難場所,黒笹老人憩いの家,クロザサロウジンイコイノイエ,,愛知県みよし市黒笹一丁目10-4,4700201,35.126779,137.093001,,黒笹老人憩いの家,0561-36-5345,防災安全課,0561-32-8046,,洪水、土砂、内水氾濫,,,,,,,,,,,
23236,22,指定緊急避難場所,指定一時避難場所,三好丘あおばふれあいセンター,ミヨシガオカアオバフレアイセンター,,愛知県みよし市三好丘あおば一丁目22-6,4700233,35.128929,137.107143,,三好丘あおばふれあいセンター,0561-35-5858,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,23,指定緊急避難場所,指定一時避難場所,三好丘旭集会所,ミヨシガオカアサヒシュウカイジョ,,愛知県みよし市三好丘旭二丁目14-2,4700203,35.123981,137.121272,,三好丘旭集会所,0561-36-0566,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,24,指定緊急避難場所,指定一時避難場所,三好丘集会所,ミヨシガオカシュウカイジョ,,愛知県みよし市三好丘七丁目11-1,4700202,35.119986,137.114522,,三好丘集会所,0561-36-3155,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,25,指定緊急避難場所,指定一時避難場所,ひばりヶ丘集会所「ひばりヶ丘ふれあいセンター」,ヒバリガオカシュウカイジョヒバリガオカフレアイセンター,,愛知県みよし市ひばりヶ丘二丁目6-12,4700208,35.116792,137.115188,,ひばりヶ丘集会所「ひばりヶ丘ふれあいセンター」,0561-36-5200,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,26,指定緊急避難場所,指定一時避難場所,三好丘緑集会所,ミヨシガオカミドリシュウカイジョ,,愛知県みよし市三好丘緑三丁目8-22,4700205,35.109627,137.114998,,三好丘緑集会所,0561-36-1151,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,27,指定緊急避難場所,指定一時避難場所,高嶺公民館,タカネコウミンカン,,愛知県みよし市三好丘緑四丁目11-5,4700205,35.108626,137.116788,,高嶺公民館,0561-36-1643,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,28,指定緊急避難場所,指定一時避難場所,みどり保育園,ミドリホイクエン,,愛知県みよし市三好丘桜四丁目11-1,4700204,35.114289,137.117202,,みどり保育園,0561-36-3330,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,29,指定緊急避難場所,指定一時避難場所,三好丘桜集会所,ミヨシガオカサクラシュウカイジョ,,愛知県みよし市三好丘桜三丁目4-5,4700204,35.113761,137.110844,,三好丘桜集会所,0561-36-1213,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,30,指定緊急避難場所,指定一時避難場所,福谷区民会館,ウキガイクミンカイカン,,愛知県みよし市福谷町寺ノ前22,4700207,35.113955,137.103698,,福谷区民会館,0561-36-1690,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,31,指定緊急避難場所,指定一時避難場所,福谷児童館,ウキガイジドウカン,,愛知県みよし市福谷町仲田21-3,4700207,35.114317,137.105517,,福谷児童館,0561-36-1585,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,32,指定緊急避難場所,指定一時避難場所,福谷老人憩いの家,ウキガイロウジンイコイノイエ,,愛知県みよし市福谷町蔵屋敷1,4700207,35.114312,137.101846,,福谷老人憩いの家,0561-36-2080,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,33,指定緊急避難場所,指定一時避難場所,城山保育園,シロヤマホイクエン,,愛知県みよし市福谷町市場61-2,4700207,35.113686,137.100256,,城山保育園,0561-36-3310,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,34,指定緊急避難場所,指定一時避難場所,福谷住宅集会所,ウキガイジュウタクシュウカイジョ,,愛知県みよし市福谷町あみだ堂7,4700207,35.113984,137.106558,,福谷住宅集会所,,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,35,指定緊急避難場所,指定一時避難場所,莇生公民館,アザブコウミンカン,,愛知県みよし市莇生町小金下3-1,4700206,35.102001,137.100543,,莇生公民館,0561-32-1693,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,36,指定緊急避難場所,指定一時避難場所,莇生老人憩いの家,アザブロウジンイコイノイエ,,愛知県みよし市莇生町小金下3-1,4700206,35.101912,137.100360,,莇生老人憩いの家,0561-34-2621,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,37,指定緊急避難場所,指定一時避難場所,莇生児童館,アザブジドウカン,,愛知県みよし市莇生町小金下2-1,4700206,35.101392,137.099848,,莇生児童館,0561-34-3327,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,38,指定緊急避難場所,指定一時避難場所,莇生保育園,アザブホイクエン,,愛知県みよし市莇生町仲田48-1,4700206,35.101856,137.098340,,莇生保育園,0561-34-7557,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,39,指定緊急避難場所,指定一時避難場所,高嶺児童館,タカネジドウカン,,愛知県みよし市打越町新池浦63-1,4700213,35.094191,137.109859,,高嶺児童館,0561-34-5402,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,40,指定緊急避難場所,指定一時避難場所,平池集会所「平池会館サンピース」,ヒライケシュウカイジョヒライケカイカンサンピース,,愛知県みよし市三好町平池19,4700224,35.095312,137.073648,,平池集会所「平池会館サンピース」,0561-34-0965,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,41,指定緊急避難場所,指定一時避難場所,新屋児童館,アラヤジドウカン,,愛知県みよし市三好町池ノ原1-21,4700224,35.092377,137.085742,,新屋児童館,0561-34-0751,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,42,指定緊急避難場所,指定一時避難場所,新屋老人憩いの家,アラヤロウジンイコイノイエ,,愛知県みよし市三好町池ノ原1-21,4700224,35.092734,137.085669,,新屋老人憩いの家,0561-34-1577,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,43,指定緊急避難場所,指定一時避難場所,天王保育園,テンノウホイクエン,,愛知県みよし市三好町天王51-20,4700224,35.090074,137.084972,,天王保育園,0561-32-2346,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,44,指定緊急避難場所,指定一時避難場所,東山老人憩いの家,ヒガシヤマロウジンイコイノイエ,,愛知県みよし市三好町東山45-1,4700224,35.091927,137.099925,,東山老人憩いの家,0561-34-0300,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,45,指定緊急避難場所,指定一時避難場所,東山住宅集会所,ヒガシヤマジュウタクシュウカイジョ,,愛知県みよし市三好町東山4-43,4700224,35.088705,137.080488,,東山住宅集会所,0561-34-0972,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,46,指定緊急避難場所,指定一時避難場所,東山児童館,ヒガシヤマジドウカン,,愛知県みよし市三好町弥栄31-3,4700224,35.084408,137.082656,,東山児童館,0561-34-3980,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,47,指定緊急避難場所,指定一時避難場所,東山集会所「サンヴィッツ宝栄」,ヒガシヤマシュウカイジョサンヴィッツホウエイ,,愛知県みよし市明知町宝栄108-4,4700214,35.080375,137.088110,,東山集会所「サンヴィッツ宝栄」,0561-34-4955,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,48,指定緊急避難場所,指定一時避難場所,上ヶ池集会所「上ヶ池会館サンフレンド」,カミガイケシュウカイジョカミガイケカイカンサンフレンド,,愛知県みよし市三好町上ヶ池26-19,4700224,35.080015,137.082294,,上ヶ池集会所「上ヶ池会館サンフレンド」,0561-34-0975,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,49,指定緊急避難場所,指定一時避難場所,中島住宅集会所,ナカシマジュウタクシュウカイジョ,,愛知県みよし市三好町中島26,4700224,35.091281,137.074913,,中島住宅集会所,0561-34-6605,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,50,指定緊急避難場所,指定一時避難場所,わかば保育園,ワカバホイクエン,,愛知県みよし市三好町大坪54,4700224,35.092427,137.072122,,わかば保育園,0561-34-1151,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,51,指定緊急避難場所,指定一時避難場所,三好上公民館,ミヨシカミコウミンカン,,愛知県みよし市三好町大坪12,4700224,35.091616,137.071485,,三好上公民館,0561-32-1001,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,52,指定緊急避難場所,指定一時避難場所,三好上児童館,ミヨシカミジドウカン,,愛知県みよし市三好町上103,4700224,35.088363,137.070463,,三好上児童館,0561-34-4067,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,53,指定緊急避難場所,指定一時避難場所,蜂ヶ池児童館,ハチガイケジドウカン,,愛知県みよし市三好町蜂ヶ池29-12,4700224,35.084494,137.079023,,蜂ヶ池児童館,0561-34-1850,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,54,指定緊急避難場所,指定一時避難場所,福祉センター,フクシセンター,,愛知県みよし市三好町陣取山39-5,4700224,35.087663,137.075112,,福祉センター,0561-34-1588,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,55,指定緊急避難場所,指定一時避難場所,子育て総合支援センター,コソダテソウゴウシエンセンター,,愛知県みよし市西陣取山130,4700224,35.087510,137.076510,,子育て総合支援センター,0561-34-0500,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,56,指定緊急避難場所,指定一時避難場所,中部老人憩いの家,チュウブロウジンイコイノイエ,,愛知県みよし市三好町宮ノ越30-1,4700224,35.085675,137.072610,,中部老人憩いの家,0561-32-2571,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,57,指定緊急避難場所,指定一時避難場所,三好下公民館,ミヨシシモコウミンカン,,愛知県みよし市園原二丁目1-2,4700227,35.083797,137.068502,,三好下公民館,0561-32-1053,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,58,指定緊急避難場所,指定一時避難場所,三好下児童館,ミヨシシモジドウカン,,愛知県みよし市三好町八和田50-2,4700224,35.085194,137.067559,,三好下児童館,0561-34-2088,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,59,指定緊急避難場所,指定一時避難場所,三好下老人憩いの家,ミヨシシモロウジンイコイノイエ,,愛知県みよし市園原二丁目1-1,4700227,35.083419,137.068065,,三好下老人憩いの家,0561-34-6633,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,60,指定緊急避難場所,指定一時避難場所,すみれ保育園,スミレホイクエン,,愛知県みよし市三好町八和田108,4700224,35.086869,137.068716,,すみれ保育園,0561-34-3123,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,61,指定緊急避難場所,指定一時避難場所,西一色児童館,ニシイシキジドウカン,,愛知県みよし市西一色町池ノ内17,4700226,35.087128,137.058646,,西一色児童館,0561-32-1032,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,62,指定緊急避難場所,指定一時避難場所,西一色老人憩いの家,ニシイシキロウジンイコイノイエ,,愛知県みよし市西一色町〆林14,4700226,35.086907,137.058842,,西一色老人憩いの家,0561-34-3200,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,63,指定緊急避難場所,指定一時避難場所,西一色集会所「西一色ふれあい会館」,ニシイシキシュウカイジョニシイシキフレアイカイカン,,愛知県みよし市西一色町池ノ内17-2,4700226,35.087577,137.058701,,西一色集会所「西一色ふれあい会館」,0561-32-0811,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,64,指定緊急避難場所,指定一時避難場所,なかよし保育園,ナカヨシホイクエン,,愛知県みよし市西一色町二ノ沢8-2,4700226,35.080720,137.054592,,なかよし保育園,0561-32-3048,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,65,指定緊急避難場所,指定一時避難場所,打越保育園,ウチコシホイクエン,,愛知県みよし市打越町畦違311,4700213,35.078881,137.093400,,打越保育園,0561-34-0123,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,66,指定緊急避難場所,指定一時避難場所,山伏住宅集会所,ヤマブシジュウタクシュウカイジョ,,愛知県みよし市打越町山伏33-1,4700213,35.075478,137.093997,,山伏住宅集会所,0561-34-0961,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,67,指定緊急避難場所,指定一時避難場所,打越公民館,ウチコシコウミンカン,,愛知県みよし市打越町前田30,4700213,35.073943,137.097594,,打越公民館,0561-32-1033,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,68,指定緊急避難場所,指定一時避難場所,打越老人憩いの家,ウチコシロウジンイコイノイエ,,愛知県みよし市打越町前田27-1,4700213,35.073952,137.097410,,打越老人憩いの家,0561-34-4633,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,69,指定緊急避難場所,指定一時避難場所,打越児童館,ウチコシジドウカン,,愛知県みよし市打越町前田27-1,4700213,35.073610,137.097550,,打越児童館,0561-34-1022,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,70,指定緊急避難場所,指定一時避難場所,明知上公民館,ミョウチカミコウミンカン,,愛知県みよし市明知町東谷61,4700214,35.071393,137.081554,,明知上公民館,0561-32-3055,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,71,指定緊急避難場所,指定一時避難場所,明知上児童館,ミョウチカミジドウカン,,愛知県みよし市明知町東谷10,4700214,35.070990,137.081723,,明知上児童館,0561-34-1016,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,72,指定緊急避難場所,指定一時避難場所,明知上老人憩いの家,ミョウチカミロウジンイコイノイエ,,愛知県みよし市明知町東谷30,4700214,35.071240,137.082807,,明知上老人憩いの家,0561-32-3600,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,73,指定緊急避難場所,指定一時避難場所,明知保育園,ミョウチホイクエン,,愛知県みよし市明知町細口浦41,4700214,35.064738,137.084318,,明知保育園,0561-32-1035,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,74,指定緊急避難場所,指定一時避難場所,明知下公民館,ミョウチシモコウミンカン,,愛知県みよし市明知町下屋敷6-1,4700214,35.061066,137.078468,,明知下公民館,0561-32-1009,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,75,指定緊急避難場所,指定一時避難場所,明知下児童館,ミョウチシモジドウカン,,愛知県みよし市明知町下屋敷17,4700214,35.060767,137.079207,,明知下児童館,0561-34-0622,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,76,指定緊急避難場所,指定一時避難場所,明知下老人憩いの家,ミョウチシモロウジンイコイノイエ,,愛知県みよし市明知町下屋敷16-3,4700214,35.060714,137.079524,,明知下老人憩いの家,0561-34-1067,防災安全課,0561-32-8046,,洪水、土砂、地震、内水氾濫,,,,,,,,,,,
23236,77,指定緊急避難場所,指定一時避難場所,福田老人憩いの家,フクタロウジンイコイノイエ,,愛知県みよし市福田町東屋敷91-2,4700225,35.072294,137.051023,,福田老人憩いの家,0561-34-0255,防災安全課,0561-32-8046,,土砂、地震,,,,,,,,,,,
23236,78,指定緊急避難場所,指定一時避難場所,福田児童館,フクタジドウカン,,愛知県みよし市福田町東屋敷84,4700225,35.071979,137.050893,,福田児童館,0561-34-5018,防災安全課,0561-32-8046,,洪水（2階）、土砂、地震、内水氾濫（2階）,,,,,,,,,,,
